incident_id,timestamp,severity,category,symbol,trigger,risk_state,status
INC-0022,2026-08-26 09:00:59.603,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.431%, Latency: 374ms",EMERGENCY_PAUSE,OPEN
INC-0023,2026-08-26 09:00:59.890,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2986%, Latency: 558ms",EMERGENCY_PAUSE,OPEN
INC-0024,2026-08-26 09:01:00.104,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1822%, Latency: 374ms",EMERGENCY_PAUSE,OPEN
INC-0025,2026-08-26 09:01:00.238,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3013%, Latency: 1004ms",EMERGENCY_PAUSE,OPEN
INC-0026,2026-08-26 09:01:00.460,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.1542%, Latency: 852ms",EMERGENCY_PAUSE,OPEN
INC-0027,2026-08-26 09:01:00.612,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2716%, Latency: 207ms",EMERGENCY_PAUSE,OPEN
INC-0028,2026-08-26 09:01:00.722,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2471%, Latency: 197ms",EMERGENCY_PAUSE,OPEN
INC-0029,2026-08-26 09:01:00.949,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3669%, Latency: 269ms",EMERGENCY_PAUSE,OPEN
INC-0030,2026-08-26 09:01:01.226,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.1979%, Latency: 398ms",EMERGENCY_PAUSE,OPEN
INC-0031,2026-08-26 09:01:19.119,HIGH,Execution Quality,ETHUSDT,"Slippage: 0.2817%, Latency: 241ms",THROTTLE,OPEN
INC-0032,2026-08-26 09:01:19.377,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2785%, Latency: 205ms",EMERGENCY_PAUSE,OPEN
INC-0033,2026-08-26 09:01:19.501,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3291%, Latency: 413ms",EMERGENCY_PAUSE,OPEN
INC-0034,2026-08-26 09:01:19.743,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.42%, Latency: 377ms",EMERGENCY_PAUSE,OPEN
INC-0035,2026-08-26 09:01:19.975,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1881%, Latency: 405ms",EMERGENCY_PAUSE,OPEN
INC-0036,2026-08-26 09:01:20.131,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2968%, Latency: 351ms",EMERGENCY_PAUSE,OPEN
INC-0037,2026-08-26 09:01:20.358,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3807%, Latency: 319ms",EMERGENCY_PAUSE,OPEN
INC-0038,2026-08-26 09:01:20.595,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1507%, Latency: 496ms",EMERGENCY_PAUSE,OPEN
INC-0039,2026-08-26 09:01:20.771,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2693%, Latency: 260ms",EMERGENCY_PAUSE,OPEN
INC-0040,2026-08-26 09:01:20.908,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3234%, Latency: 200ms",EMERGENCY_PAUSE,OPEN
INC-0041,2026-08-26 09:01:38.870,HIGH,Execution Quality,SOLUSDT,"Slippage: 0.3059%, Latency: 505ms",THROTTLE,OPEN
INC-0042,2026-08-26 09:01:38.945,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.32%, Latency: 506ms",EMERGENCY_PAUSE,OPEN
INC-0043,2026-08-26 09:01:39.162,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.414%, Latency: 542ms",EMERGENCY_PAUSE,OPEN
INC-0044,2026-08-26 09:01:39.221,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1932%, Latency: 216ms",EMERGENCY_PAUSE,OPEN
INC-0045,2026-08-26 09:01:39.357,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2926%, Latency: 527ms",EMERGENCY_PAUSE,OPEN
INC-0046,2026-08-26 09:01:39.441,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3589%, Latency: 197ms",EMERGENCY_PAUSE,OPEN
INC-0047,2026-08-26 09:01:39.604,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3686%, Latency: 194ms",EMERGENCY_PAUSE,OPEN
INC-0048,2026-08-26 09:01:39.694,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4102%, Latency: 250ms",EMERGENCY_PAUSE,OPEN
INC-0049,2026-08-26 09:01:39.788,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3842%, Latency: 771ms",EMERGENCY_PAUSE,OPEN
INC-0050,2026-08-26 09:01:39.908,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2869%, Latency: 536ms",EMERGENCY_PAUSE,OPEN
INC-0051,2026-08-26 09:01:58.464,HIGH,Execution Quality,SOLUSDT,"Slippage: 0.2853%, Latency: 485ms",THROTTLE,OPEN
INC-0052,2026-08-26 09:01:58.693,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3355%, Latency: 471ms",EMERGENCY_PAUSE,OPEN
INC-0053,2026-08-26 09:01:58.938,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3861%, Latency: 320ms",EMERGENCY_PAUSE,OPEN
INC-0054,2026-08-26 09:01:59.088,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2922%, Latency: 218ms",EMERGENCY_PAUSE,OPEN
INC-0055,2026-08-26 09:01:59.324,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3532%, Latency: 221ms",EMERGENCY_PAUSE,OPEN
INC-0056,2026-08-26 09:01:59.520,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.4124%, Latency: 186ms",EMERGENCY_PAUSE,OPEN
INC-0057,2026-08-26 09:01:59.658,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2414%, Latency: 284ms",EMERGENCY_PAUSE,OPEN
INC-0058,2026-08-26 09:01:59.772,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.1927%, Latency: 198ms",EMERGENCY_PAUSE,OPEN
INC-0059,2026-08-26 09:01:59.962,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4057%, Latency: 462ms",EMERGENCY_PAUSE,OPEN
INC-0060,2026-08-26 09:02:00.096,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1795%, Latency: 412ms",EMERGENCY_PAUSE,OPEN
INC-0061,2026-08-26 09:02:19.298,HIGH,Execution Quality,BTCUSDT,"Slippage: 0.2815%, Latency: 573ms",THROTTLE,OPEN
INC-0062,2026-08-26 09:02:19.550,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3898%, Latency: 1126ms",EMERGENCY_PAUSE,OPEN
INC-0063,2026-08-26 09:02:19.739,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.1938%, Latency: 533ms",EMERGENCY_PAUSE,OPEN
INC-0064,2026-08-26 09:02:19.985,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3952%, Latency: 496ms",EMERGENCY_PAUSE,OPEN
INC-0065,2026-08-26 09:02:20.223,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2241%, Latency: 251ms",EMERGENCY_PAUSE,OPEN
INC-0066,2026-08-26 09:02:20.283,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2436%, Latency: 224ms",EMERGENCY_PAUSE,OPEN
INC-0067,2026-08-26 09:02:20.388,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2096%, Latency: 388ms",EMERGENCY_PAUSE,OPEN
INC-0068,2026-08-26 09:02:20.640,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2002%, Latency: 183ms",EMERGENCY_PAUSE,OPEN
INC-0069,2026-08-26 09:02:20.887,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3572%, Latency: 182ms",EMERGENCY_PAUSE,OPEN
INC-0070,2026-08-26 09:02:21.097,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3356%, Latency: 244ms",EMERGENCY_PAUSE,OPEN
INC-0071,2026-08-26 09:02:41.149,HIGH,Execution Quality,SOLUSDT,"Slippage: 0.4001%, Latency: 360ms",THROTTLE,OPEN
INC-0072,2026-08-26 09:02:41.399,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4176%, Latency: 223ms",EMERGENCY_PAUSE,OPEN
INC-0073,2026-08-26 09:02:41.502,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3675%, Latency: 207ms",EMERGENCY_PAUSE,OPEN
INC-0074,2026-08-26 09:02:41.559,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2561%, Latency: 242ms",EMERGENCY_PAUSE,OPEN
INC-0075,2026-08-26 09:02:41.830,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3213%, Latency: 250ms",EMERGENCY_PAUSE,OPEN
INC-0076,2026-08-26 09:02:42.092,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.176%, Latency: 194ms",EMERGENCY_PAUSE,OPEN
INC-0077,2026-08-26 09:02:42.165,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2623%, Latency: 241ms",EMERGENCY_PAUSE,OPEN
INC-0078,2026-08-26 09:02:42.438,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1962%, Latency: 983ms",EMERGENCY_PAUSE,OPEN
INC-0079,2026-08-26 09:02:42.661,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.4115%, Latency: 314ms",EMERGENCY_PAUSE,OPEN
INC-0080,2026-08-26 09:02:42.949,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3641%, Latency: 320ms",EMERGENCY_PAUSE,OPEN
INC-0081,2026-08-26 09:03:02.219,HIGH,Execution Quality,ETHUSDT,"Slippage: 0.3577%, Latency: 526ms",THROTTLE,OPEN
INC-0082,2026-08-26 09:03:02.472,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.216%, Latency: 288ms",EMERGENCY_PAUSE,OPEN
INC-0083,2026-08-26 09:03:02.742,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2189%, Latency: 204ms",EMERGENCY_PAUSE,OPEN
INC-0084,2026-08-26 09:03:02.875,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.369%, Latency: 190ms",EMERGENCY_PAUSE,OPEN
INC-0085,2026-08-26 09:03:03.175,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1947%, Latency: 266ms",EMERGENCY_PAUSE,OPEN
INC-0086,2026-08-26 09:03:03.432,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3013%, Latency: 777ms",EMERGENCY_PAUSE,OPEN
INC-0087,2026-08-26 09:03:03.725,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3175%, Latency: 337ms",EMERGENCY_PAUSE,OPEN
INC-0088,2026-08-26 09:03:03.816,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4497%, Latency: 221ms",EMERGENCY_PAUSE,OPEN
INC-0089,2026-08-26 09:03:04.089,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.1573%, Latency: 346ms",EMERGENCY_PAUSE,OPEN
INC-0090,2026-08-26 09:03:04.299,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.338%, Latency: 2110ms",EMERGENCY_PAUSE,OPEN
INC-0091,2026-08-26 09:03:24.005,HIGH,Execution Quality,ETHUSDT,"Slippage: 0.2269%, Latency: 514ms",THROTTLE,OPEN
INC-0092,2026-08-26 09:03:24.163,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2432%, Latency: 291ms",EMERGENCY_PAUSE,OPEN
INC-0093,2026-08-26 09:03:24.353,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.1587%, Latency: 201ms",EMERGENCY_PAUSE,OPEN
INC-0094,2026-08-26 09:03:24.557,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.156%, Latency: 1405ms",EMERGENCY_PAUSE,OPEN
INC-0095,2026-08-26 09:03:24.848,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.259%, Latency: 682ms",EMERGENCY_PAUSE,OPEN
INC-0096,2026-08-26 09:03:25.046,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3001%, Latency: 265ms",EMERGENCY_PAUSE,OPEN
INC-0097,2026-08-26 09:03:25.309,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3299%, Latency: 312ms",EMERGENCY_PAUSE,OPEN
INC-0098,2026-08-26 09:03:25.413,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.4307%, Latency: 319ms",EMERGENCY_PAUSE,OPEN
INC-0099,2026-08-26 09:03:25.491,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1668%, Latency: 655ms",EMERGENCY_PAUSE,OPEN
INC-0100,2026-08-26 09:03:25.662,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2333%, Latency: 236ms",EMERGENCY_PAUSE,OPEN
INC-0101,2026-08-26 09:03:44.803,HIGH,Execution Quality,ETHUSDT,"Slippage: 0.1643%, Latency: 1403ms",THROTTLE,OPEN
INC-0102,2026-08-26 09:03:45.081,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3916%, Latency: 623ms",EMERGENCY_PAUSE,OPEN
INC-0103,2026-08-26 09:03:45.313,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3854%, Latency: 243ms",EMERGENCY_PAUSE,OPEN
INC-0104,2026-08-26 09:03:45.400,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2078%, Latency: 1136ms",EMERGENCY_PAUSE,OPEN
INC-0105,2026-08-26 09:03:45.564,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.1687%, Latency: 229ms",EMERGENCY_PAUSE,OPEN
INC-0106,2026-08-26 09:03:45.763,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3177%, Latency: 508ms",EMERGENCY_PAUSE,OPEN
INC-0107,2026-08-26 09:03:45.854,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.4343%, Latency: 316ms",EMERGENCY_PAUSE,OPEN
INC-0108,2026-08-26 09:03:46.081,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4404%, Latency: 587ms",EMERGENCY_PAUSE,OPEN
INC-0109,2026-08-26 09:03:46.285,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4332%, Latency: 683ms",EMERGENCY_PAUSE,OPEN
INC-0110,2026-08-26 09:03:46.430,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.1621%, Latency: 217ms",EMERGENCY_PAUSE,OPEN
INC-0111,2026-08-26 09:04:05.922,HIGH,Execution Quality,ETHUSDT,"Slippage: 0.1917%, Latency: 229ms",THROTTLE,OPEN
INC-0112,2026-08-26 09:04:05.999,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2672%, Latency: 304ms",EMERGENCY_PAUSE,OPEN
INC-0113,2026-08-26 09:04:06.260,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2014%, Latency: 1174ms",EMERGENCY_PAUSE,OPEN
INC-0114,2026-08-26 09:04:06.384,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.4234%, Latency: 300ms",EMERGENCY_PAUSE,OPEN
INC-0115,2026-08-26 09:04:06.534,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.1533%, Latency: 426ms",EMERGENCY_PAUSE,OPEN
INC-0116,2026-08-26 09:04:06.636,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3729%, Latency: 233ms",EMERGENCY_PAUSE,OPEN
INC-0117,2026-08-26 09:04:06.765,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3494%, Latency: 197ms",EMERGENCY_PAUSE,OPEN
INC-0118,2026-08-26 09:04:06.831,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2326%, Latency: 281ms",EMERGENCY_PAUSE,OPEN
INC-0119,2026-08-26 09:04:07.069,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.4138%, Latency: 289ms",EMERGENCY_PAUSE,OPEN
INC-0120,2026-08-26 09:04:07.219,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.254%, Latency: 220ms",EMERGENCY_PAUSE,OPEN
INC-0121,2026-08-26 09:04:26.506,HIGH,Execution Quality,ETHUSDT,"Slippage: 0.2017%, Latency: 478ms",THROTTLE,OPEN
INC-0122,2026-08-26 09:04:26.650,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3451%, Latency: 379ms",EMERGENCY_PAUSE,OPEN
INC-0123,2026-08-26 09:04:26.850,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3424%, Latency: 314ms",EMERGENCY_PAUSE,OPEN
INC-0124,2026-08-26 09:04:27.065,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3883%, Latency: 617ms",EMERGENCY_PAUSE,OPEN
INC-0125,2026-08-26 09:04:27.252,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2476%, Latency: 383ms",EMERGENCY_PAUSE,OPEN
INC-0126,2026-08-26 09:04:27.427,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3168%, Latency: 338ms",EMERGENCY_PAUSE,OPEN
INC-0127,2026-08-26 09:04:27.654,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3476%, Latency: 667ms",EMERGENCY_PAUSE,OPEN
INC-0128,2026-08-26 09:04:27.745,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.1869%, Latency: 214ms",EMERGENCY_PAUSE,OPEN
INC-0129,2026-08-26 09:04:27.934,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.444%, Latency: 268ms",EMERGENCY_PAUSE,OPEN
INC-0130,2026-08-26 09:04:28.215,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2245%, Latency: 244ms",EMERGENCY_PAUSE,OPEN
INC-0131,2026-08-26 09:04:48.253,HIGH,Execution Quality,BTCUSDT,"Slippage: 0.3155%, Latency: 435ms",THROTTLE,OPEN
INC-0132,2026-08-26 09:04:48.481,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3587%, Latency: 274ms",EMERGENCY_PAUSE,OPEN
INC-0133,2026-08-26 09:04:48.571,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3245%, Latency: 491ms",EMERGENCY_PAUSE,OPEN
INC-0134,2026-08-26 09:04:48.659,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.1731%, Latency: 228ms",EMERGENCY_PAUSE,OPEN
INC-0135,2026-08-26 09:04:48.795,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3596%, Latency: 795ms",EMERGENCY_PAUSE,OPEN
INC-0136,2026-08-26 09:04:48.973,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.4143%, Latency: 239ms",EMERGENCY_PAUSE,OPEN
INC-0137,2026-08-26 09:04:49.089,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4345%, Latency: 353ms",EMERGENCY_PAUSE,OPEN
INC-0138,2026-08-26 09:04:49.389,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.197%, Latency: 786ms",EMERGENCY_PAUSE,OPEN
INC-0139,2026-08-26 09:04:49.593,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2677%, Latency: 246ms",EMERGENCY_PAUSE,OPEN
INC-0140,2026-08-26 09:04:49.738,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2715%, Latency: 222ms",EMERGENCY_PAUSE,OPEN
INC-0141,2026-08-26 09:05:08.292,HIGH,Execution Quality,BTCUSDT,"Slippage: 0.2857%, Latency: 298ms",THROTTLE,OPEN
INC-0142,2026-08-26 09:05:08.379,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2421%, Latency: 333ms",EMERGENCY_PAUSE,OPEN
INC-0143,2026-08-26 09:05:08.598,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.4182%, Latency: 536ms",EMERGENCY_PAUSE,OPEN
INC-0144,2026-08-26 09:05:08.749,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.3151%, Latency: 185ms",EMERGENCY_PAUSE,OPEN
INC-0145,2026-08-26 09:05:08.986,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2318%, Latency: 315ms",EMERGENCY_PAUSE,OPEN
INC-0146,2026-08-26 09:05:09.146,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3282%, Latency: 387ms",EMERGENCY_PAUSE,OPEN
INC-0147,2026-08-26 09:05:09.264,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2159%, Latency: 237ms",EMERGENCY_PAUSE,OPEN
INC-0148,2026-08-26 09:05:09.414,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4148%, Latency: 698ms",EMERGENCY_PAUSE,OPEN
INC-0149,2026-08-26 09:05:09.552,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2305%, Latency: 288ms",EMERGENCY_PAUSE,OPEN
INC-0150,2026-08-26 09:05:09.761,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.1509%, Latency: 770ms",EMERGENCY_PAUSE,OPEN
INC-0151,2026-08-26 09:05:28.455,HIGH,Execution Quality,ETHUSDT,"Slippage: 0.2831%, Latency: 312ms",THROTTLE,OPEN
INC-0152,2026-08-26 09:05:28.734,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.2726%, Latency: 241ms",EMERGENCY_PAUSE,OPEN
INC-0153,2026-08-26 09:05:28.910,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2274%, Latency: 242ms",EMERGENCY_PAUSE,OPEN
INC-0154,2026-08-26 09:05:28.969,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3354%, Latency: 559ms",EMERGENCY_PAUSE,OPEN
INC-0155,2026-08-26 09:05:29.085,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.3652%, Latency: 202ms",EMERGENCY_PAUSE,OPEN
INC-0156,2026-08-26 09:05:29.224,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.256%, Latency: 592ms",EMERGENCY_PAUSE,OPEN
INC-0157,2026-08-26 09:05:29.486,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.1732%, Latency: 661ms",EMERGENCY_PAUSE,OPEN
INC-0158,2026-08-26 09:05:29.628,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.2349%, Latency: 467ms",EMERGENCY_PAUSE,OPEN
INC-0159,2026-08-26 09:05:29.772,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.4327%, Latency: 357ms",EMERGENCY_PAUSE,OPEN
INC-0160,2026-08-26 09:05:29.952,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.1577%, Latency: 246ms",EMERGENCY_PAUSE,OPEN
INC-0161,2026-08-26 09:05:49.142,HIGH,Execution Quality,SOLUSDT,"Slippage: 0.2332%, Latency: 239ms",THROTTLE,OPEN
INC-0162,2026-08-26 09:05:49.342,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.2449%, Latency: 190ms",EMERGENCY_PAUSE,OPEN
INC-0163,2026-08-26 09:05:49.408,CRITICAL,Execution Quality,SOLUSDT,"Slippage: 0.271%, Latency: 308ms",EMERGENCY_PAUSE,OPEN
INC-0164,2026-08-26 09:05:49.587,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.283%, Latency: 434ms",EMERGENCY_PAUSE,OPEN
INC-0165,2026-08-26 09:05:49.667,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.4323%, Latency: 276ms",EMERGENCY_PAUSE,OPEN
INC-0166,2026-08-26 09:05:49.740,CRITICAL,Execution Quality,ETHUSDT,"Slippage: 0.3199%, Latency: 214ms",EMERGENCY_PAUSE,OPEN
INC-0167,2026-08-26 09:05:49.845,CRITICAL,Execution Quality,BTCUSDT,"Slippage: 0.4397%, Latency: 917ms",EMERGENCY_PAUSE,OPEN
