order_id,timestamp,symbol,side,order_type,requested_price,quantity,status
ORD-000044,2026-08-26 09:00:06.895,SOLUSDT,SELL,MARKET,140.04,2.425,FILLED
ORD-000045,2026-08-26 09:00:07.073,SOLUSDT,BUY,MARKET,140.17,1.502,FILLED
ORD-000046,2026-08-26 09:00:07.140,SOLUSDT,BUY,MARKET,139.9,2.143,FILLED
ORD-000047,2026-08-26 09:00:07.417,SOLUSDT,BUY,MARKET,140.09,0.388,FILLED
ORD-000048,2026-08-26 09:00:07.635,SOLUSDT,BUY,MARKET,139.94,0.297,FILLED
ORD-000049,2026-08-26 09:00:07.746,SOLUSDT,SELL,MARKET,140.0,1.819,FILLED
ORD-000050,2026-08-26 09:00:08.033,ETHUSDT,SELL,MARKET,2999.73,1.197,FILLED
ORD-000051,2026-08-26 09:00:08.101,BTCUSDT,BUY,MARKET,59942.25,2.491,FILLED
ORD-000052,2026-08-26 09:00:08.168,SOLUSDT,BUY,MARKET,140.1,0.938,FILLED
ORD-000053,2026-08-26 09:00:08.295,BTCUSDT,SELL,MARKET,59947.0,1.404,FILLED
ORD-000054,2026-08-26 09:00:08.371,SOLUSDT,BUY,MARKET,139.96,2.336,FILLED
ORD-000055,2026-08-26 09:00:08.490,BTCUSDT,SELL,MARKET,60007.65,1.428,FILLED
ORD-000056,2026-08-26 09:00:08.607,ETHUSDT,BUY,MARKET,2999.33,1.622,FILLED
ORD-000057,2026-08-26 09:00:08.819,SOLUSDT,SELL,MARKET,140.03,0.222,FILLED
ORD-000058,2026-08-26 09:00:09.119,ETHUSDT,SELL,MARKET,3003.6,0.414,FILLED
ORD-000059,2026-08-26 09:00:09.171,ETHUSDT,BUY,MARKET,3001.05,1.126,FILLED
ORD-000060,2026-08-26 09:00:09.230,BTCUSDT,BUY,MARKET,60019.58,0.458,FILLED
ORD-000061,2026-08-26 09:00:09.518,ETHUSDT,BUY,MARKET,3001.18,0.975,FILLED
ORD-000062,2026-08-26 09:00:09.767,BTCUSDT,SELL,MARKET,60004.49,0.347,FILLED
ORD-000063,2026-08-26 09:00:09.877,SOLUSDT,SELL,MARKET,139.82,2.322,FILLED
ORD-000064,2026-08-26 09:00:10.012,BTCUSDT,BUY,MARKET,59960.93,1.868,FILLED
ORD-000065,2026-08-26 09:00:10.285,ETHUSDT,BUY,MARKET,3003.19,0.359,FILLED
ORD-000066,2026-08-26 09:00:10.413,BTCUSDT,SELL,MARKET,59941.95,1.205,FILLED
ORD-000067,2026-08-26 09:00:10.684,BTCUSDT,BUY,MARKET,59952.62,0.888,FILLED
ORD-000068,2026-08-26 09:00:10.949,BTCUSDT,SELL,MARKET,60046.71,1.731,FILLED
ORD-000069,2026-08-26 09:00:11.044,SOLUSDT,SELL,MARKET,139.99,2.429,FILLED
ORD-000070,2026-08-26 09:00:11.295,SOLUSDT,SELL,MARKET,139.79,0.93,FILLED
ORD-000071,2026-08-26 09:00:11.492,ETHUSDT,SELL,MARKET,2996.49,1.024,FILLED
ORD-000072,2026-08-26 09:00:11.748,BTCUSDT,SELL,MARKET,59986.55,1.348,FILLED
ORD-000073,2026-08-26 09:00:11.882,SOLUSDT,BUY,MARKET,139.89,1.694,FILLED
ORD-000074,2026-08-26 09:00:12.061,SOLUSDT,SELL,MARKET,139.86,2.26,FILLED
ORD-000075,2026-08-26 09:00:12.160,ETHUSDT,SELL,MARKET,3000.22,1.431,FILLED
ORD-000076,2026-08-26 09:00:12.287,ETHUSDT,SELL,MARKET,3000.39,1.577,FILLED
ORD-000077,2026-08-26 09:00:12.492,ETHUSDT,BUY,MARKET,3000.47,1.986,FILLED
ORD-000078,2026-08-26 09:00:12.663,SOLUSDT,SELL,MARKET,140.11,0.613,FILLED
ORD-000079,2026-08-26 09:00:12.871,SOLUSDT,BUY,MARKET,139.82,1.693,FILLED
ORD-000080,2026-08-26 09:00:12.978,ETHUSDT,BUY,MARKET,3001.21,1.715,FILLED
ORD-000081,2026-08-26 09:00:13.245,BTCUSDT,BUY,MARKET,60036.9,1.24,FILLED
ORD-000082,2026-08-26 09:00:13.473,BTCUSDT,SELL,MARKET,60073.84,0.567,FILLED
ORD-000083,2026-08-26 09:00:13.751,ETHUSDT,SELL,MARKET,2998.75,1.75,FILLED
ORD-000084,2026-08-26 09:00:13.919,BTCUSDT,SELL,MARKET,60003.9,1.77,FILLED
ORD-000085,2026-08-26 09:00:14.087,BTCUSDT,BUY,MARKET,60144.89,0.42,FILLED
ORD-000086,2026-08-26 09:00:14.321,SOLUSDT,SELL,MARKET,139.93,1.57,FILLED
ORD-000087,2026-08-26 09:00:14.561,SOLUSDT,SELL,MARKET,139.92,2.253,FILLED
ORD-000088,2026-08-26 09:00:14.807,ETHUSDT,SELL,MARKET,3004.38,1.63,FILLED
ORD-000089,2026-08-26 09:00:14.930,SOLUSDT,SELL,MARKET,139.89,0.286,FILLED
ORD-000090,2026-08-26 09:00:15.018,BTCUSDT,SELL,MARKET,60137.33,0.293,FILLED
ORD-000091,2026-08-26 09:00:15.172,BTCUSDT,SELL,MARKET,59872.5,0.254,FILLED
ORD-000092,2026-08-26 09:00:15.453,ETHUSDT,SELL,MARKET,2998.37,1.108,FILLED
ORD-000093,2026-08-26 09:00:15.504,SOLUSDT,BUY,MARKET,140.08,1.013,FILLED
ORD-000094,2026-08-26 09:00:15.661,ETHUSDT,SELL,MARKET,2998.7,2.388,FILLED
ORD-000095,2026-08-26 09:00:15.810,SOLUSDT,BUY,MARKET,140.26,1.266,FILLED
ORD-000096,2026-08-26 09:00:16.019,ETHUSDT,SELL,MARKET,3000.83,2.307,FILLED
ORD-000097,2026-08-26 09:00:16.090,SOLUSDT,BUY,MARKET,139.8,1.691,FILLED
ORD-000098,2026-08-26 09:00:16.237,SOLUSDT,SELL,MARKET,139.96,0.221,FILLED
ORD-000099,2026-08-26 09:00:16.358,ETHUSDT,BUY,MARKET,2990.58,2.211,FILLED
ORD-000100,2026-08-26 09:00:16.465,ETHUSDT,SELL,MARKET,2993.72,0.225,FILLED
ORD-000101,2026-08-26 09:00:16.520,SOLUSDT,BUY,MARKET,139.83,2.379,REJECTED
ORD-000102,2026-08-26 09:00:16.635,SOLUSDT,BUY,MARKET,139.99,2.375,FILLED
ORD-000103,2026-08-26 09:00:16.764,ETHUSDT,BUY,MARKET,2998.9,1.967,REJECTED
ORD-000104,2026-08-26 09:00:16.864,BTCUSDT,BUY,MARKET,60030.3,1.001,FILLED
ORD-000105,2026-08-26 09:00:17.058,BTCUSDT,BUY,MARKET,60060.59,1.541,REJECTED
ORD-000106,2026-08-26 09:00:17.215,BTCUSDT,SELL,MARKET,59981.85,1.654,REJECTED
ORD-000107,2026-08-26 09:00:17.310,ETHUSDT,BUY,MARKET,3000.48,1.203,REJECTED
ORD-000108,2026-08-26 09:00:17.511,SOLUSDT,SELL,MARKET,139.72,1.216,FILLED
ORD-000109,2026-08-26 09:00:17.679,ETHUSDT,SELL,MARKET,3003.54,2.216,REJECTED
ORD-000110,2026-08-26 09:00:17.795,SOLUSDT,SELL,MARKET,140.09,1.27,FILLED
ORD-000111,2026-08-26 09:00:17.847,ETHUSDT,SELL,MARKET,2999.91,0.763,FILLED
ORD-000112,2026-08-26 09:00:18.091,SOLUSDT,BUY,MARKET,140.04,1.273,FILLED
ORD-000113,2026-08-26 09:00:18.164,BTCUSDT,SELL,MARKET,60044.97,2.003,FILLED
ORD-000114,2026-08-26 09:00:18.308,ETHUSDT,BUY,MARKET,3004.66,1.694,FILLED
ORD-000115,2026-08-26 09:00:18.537,ETHUSDT,SELL,MARKET,3001.59,0.894,FILLED
ORD-000116,2026-08-26 09:00:18.667,ETHUSDT,SELL,MARKET,2997.57,1.831,FILLED
ORD-000117,2026-08-26 09:00:18.867,BTCUSDT,BUY,MARKET,60013.04,0.764,FILLED
ORD-000118,2026-08-26 09:00:19.009,SOLUSDT,SELL,MARKET,140.15,0.811,FILLED
ORD-000119,2026-08-26 09:00:19.308,BTCUSDT,SELL,MARKET,60059.92,0.758,FILLED
ORD-000120,2026-08-26 09:00:19.483,BTCUSDT,SELL,MARKET,60009.7,2.184,FILLED
ORD-000121,2026-08-26 09:00:19.580,BTCUSDT,BUY,MARKET,60007.26,1.157,FILLED
ORD-000122,2026-08-26 09:00:19.732,BTCUSDT,SELL,MARKET,60045.23,2.073,FILLED
ORD-000123,2026-08-26 09:00:19.989,ETHUSDT,BUY,MARKET,2999.91,0.464,FILLED
ORD-000124,2026-08-26 09:00:20.145,SOLUSDT,SELL,MARKET,140.14,1.439,FILLED
ORD-000125,2026-08-26 09:00:20.271,SOLUSDT,BUY,MARKET,139.84,2.28,FILLED
ORD-000126,2026-08-26 09:00:20.510,SOLUSDT,SELL,MARKET,140.08,1.563,FILLED
ORD-000127,2026-08-26 09:00:20.621,BTCUSDT,BUY,MARKET,59952.15,0.295,FILLED
ORD-000128,2026-08-26 09:00:20.791,BTCUSDT,BUY,MARKET,60112.24,1.754,FILLED
ORD-000129,2026-08-26 09:00:20.957,ETHUSDT,BUY,MARKET,2999.34,1.787,FILLED
ORD-000130,2026-08-26 09:00:21.176,BTCUSDT,BUY,MARKET,60087.48,1.6,FILLED
ORD-000131,2026-08-26 09:00:21.294,BTCUSDT,SELL,MARKET,59963.58,0.458,FILLED
ORD-000132,2026-08-26 09:00:21.555,BTCUSDT,BUY,MARKET,60058.36,1.528,FILLED
ORD-000133,2026-08-26 09:00:21.708,SOLUSDT,SELL,MARKET,139.79,0.83,FILLED
ORD-000134,2026-08-26 09:00:21.946,ETHUSDT,SELL,MARKET,3003.78,2.235,FILLED
ORD-000135,2026-08-26 09:00:22.216,ETHUSDT,SELL,MARKET,3004.13,1.718,FILLED
ORD-000136,2026-08-26 09:00:22.276,SOLUSDT,BUY,MARKET,140.01,0.747,FILLED
ORD-000137,2026-08-26 09:00:22.475,BTCUSDT,SELL,MARKET,59944.37,0.768,FILLED
ORD-000138,2026-08-26 09:00:22.607,ETHUSDT,SELL,MARKET,2999.97,1.08,FILLED
ORD-000139,2026-08-26 09:00:22.730,SOLUSDT,BUY,MARKET,139.95,1.765,FILLED
ORD-000140,2026-08-26 09:00:22.860,SOLUSDT,SELL,MARKET,140.13,1.192,FILLED
ORD-000141,2026-08-26 09:00:23.121,ETHUSDT,SELL,MARKET,2997.38,2.176,FILLED
ORD-000142,2026-08-26 09:00:23.364,BTCUSDT,SELL,MARKET,60018.37,0.968,FILLED
ORD-000143,2026-08-26 09:00:23.651,ETHUSDT,SELL,MARKET,2997.4,1.418,FILLED
ORD-000144,2026-08-26 09:00:23.862,ETHUSDT,SELL,MARKET,3002.63,0.169,FILLED
ORD-000145,2026-08-26 09:00:24.016,SOLUSDT,BUY,MARKET,139.93,0.133,FILLED
ORD-000146,2026-08-26 09:00:24.096,BTCUSDT,BUY,MARKET,59897.38,1.207,FILLED
ORD-000147,2026-08-26 09:00:24.215,SOLUSDT,BUY,MARKET,140.27,1.321,FILLED
ORD-000148,2026-08-26 09:00:24.363,ETHUSDT,SELL,MARKET,3002.61,1.423,FILLED
ORD-000149,2026-08-26 09:00:24.519,BTCUSDT,BUY,MARKET,60115.9,1.996,FILLED
ORD-000150,2026-08-26 09:00:24.719,ETHUSDT,SELL,MARKET,2998.85,0.817,FILLED
ORD-000151,2026-08-26 09:00:24.854,SOLUSDT,SELL,MARKET,140.18,1.262,FILLED
ORD-000152,2026-08-26 09:00:25.082,SOLUSDT,SELL,MARKET,140.03,0.553,FILLED
ORD-000153,2026-08-26 09:00:25.322,BTCUSDT,SELL,MARKET,59958.04,0.205,FILLED
ORD-000154,2026-08-26 09:00:25.410,ETHUSDT,SELL,MARKET,3000.61,2.07,FILLED
ORD-000155,2026-08-26 09:00:25.485,ETHUSDT,BUY,MARKET,3000.44,0.897,FILLED
ORD-000156,2026-08-26 09:00:25.639,ETHUSDT,BUY,MARKET,2995.5,1.834,FILLED
ORD-000157,2026-08-26 09:00:25.848,SOLUSDT,BUY,MARKET,140.08,0.736,FILLED
ORD-000158,2026-08-26 09:00:26.117,SOLUSDT,SELL,MARKET,140.21,2.146,FILLED
ORD-000159,2026-08-26 09:00:26.291,SOLUSDT,SELL,MARKET,139.89,2.23,FILLED
ORD-000160,2026-08-26 09:00:26.414,SOLUSDT,BUY,MARKET,140.23,1.743,FILLED
ORD-000161,2026-08-26 09:00:26.687,BTCUSDT,BUY,MARKET,60111.33,1.621,FILLED
ORD-000162,2026-08-26 09:00:26.820,BTCUSDT,SELL,MARKET,59977.85,0.169,FILLED
ORD-000163,2026-08-26 09:00:26.975,BTCUSDT,SELL,MARKET,60076.11,0.686,FILLED
ORD-000164,2026-08-26 09:00:27.183,SOLUSDT,BUY,MARKET,139.96,2.19,FILLED
ORD-000165,2026-08-26 09:00:27.396,SOLUSDT,BUY,MARKET,139.76,0.657,FILLED
ORD-000166,2026-08-26 09:00:27.676,ETHUSDT,SELL,MARKET,2999.29,2.031,FILLED
ORD-000167,2026-08-26 09:00:27.802,ETHUSDT,BUY,MARKET,3000.52,2.47,FILLED
ORD-000168,2026-08-26 09:00:27.950,SOLUSDT,SELL,MARKET,140.04,0.825,FILLED
ORD-000169,2026-08-26 09:00:28.179,ETHUSDT,BUY,MARKET,3000.13,1.48,FILLED
ORD-000170,2026-08-26 09:00:28.373,ETHUSDT,BUY,MARKET,3001.51,0.759,FILLED
ORD-000171,2026-08-26 09:00:28.654,SOLUSDT,BUY,MARKET,140.1,2.099,FILLED
ORD-000172,2026-08-26 09:00:28.862,ETHUSDT,BUY,MARKET,3001.76,1.628,FILLED
ORD-000173,2026-08-26 09:00:28.991,ETHUSDT,BUY,MARKET,3003.17,1.651,FILLED
ORD-000174,2026-08-26 09:00:29.116,ETHUSDT,BUY,MARKET,2998.87,0.316,FILLED
ORD-000175,2026-08-26 09:00:29.414,ETHUSDT,SELL,MARKET,2997.32,1.395,FILLED
ORD-000176,2026-08-26 09:00:29.587,ETHUSDT,SELL,MARKET,2999.13,2.079,FILLED
ORD-000177,2026-08-26 09:00:29.830,ETHUSDT,SELL,MARKET,2999.81,0.281,FILLED
ORD-000178,2026-08-26 09:00:30.082,BTCUSDT,SELL,MARKET,60066.27,0.978,FILLED
ORD-000179,2026-08-26 09:00:30.323,ETHUSDT,BUY,MARKET,2999.64,0.985,FILLED
ORD-000180,2026-08-26 09:00:30.400,SOLUSDT,SELL,MARKET,140.07,2.357,FILLED
ORD-000181,2026-08-26 09:00:30.533,SOLUSDT,BUY,MARKET,139.69,2.364,FILLED
ORD-000182,2026-08-26 09:00:30.762,SOLUSDT,BUY,MARKET,139.7,1.214,FILLED
ORD-000183,2026-08-26 09:00:30.938,ETHUSDT,SELL,MARKET,3000.63,0.189,FILLED
ORD-000184,2026-08-26 09:00:31.082,BTCUSDT,BUY,MARKET,60010.77,1.033,FILLED
ORD-000185,2026-08-26 09:00:31.299,SOLUSDT,SELL,MARKET,140.02,2.225,FILLED
ORD-000186,2026-08-26 09:00:31.525,BTCUSDT,SELL,MARKET,59991.13,0.771,FILLED
ORD-000187,2026-08-26 09:00:31.600,ETHUSDT,BUY,MARKET,2997.06,2.153,FILLED
ORD-000188,2026-08-26 09:00:31.751,SOLUSDT,SELL,MARKET,140.12,0.961,FILLED
ORD-000189,2026-08-26 09:00:31.824,ETHUSDT,BUY,MARKET,3004.74,2.078,FILLED
ORD-000190,2026-08-26 09:00:32.075,SOLUSDT,BUY,MARKET,140.15,0.151,FILLED
ORD-000191,2026-08-26 09:00:32.337,ETHUSDT,BUY,MARKET,2999.73,0.592,FILLED
ORD-000192,2026-08-26 09:00:32.585,SOLUSDT,BUY,MARKET,139.83,0.659,FILLED
ORD-000193,2026-08-26 09:00:32.773,BTCUSDT,BUY,MARKET,60039.78,2.47,FILLED
ORD-000194,2026-08-26 09:00:32.914,ETHUSDT,BUY,MARKET,2998.42,0.416,FILLED
ORD-000195,2026-08-26 09:00:33.071,BTCUSDT,SELL,MARKET,59942.17,0.404,FILLED
ORD-000196,2026-08-26 09:00:33.252,SOLUSDT,BUY,MARKET,140.11,1.967,FILLED
ORD-000197,2026-08-26 09:00:33.488,SOLUSDT,BUY,MARKET,139.88,1.576,FILLED
ORD-000198,2026-08-26 09:00:33.660,SOLUSDT,SELL,MARKET,140.03,0.246,FILLED
ORD-000199,2026-08-26 09:00:33.728,ETHUSDT,SELL,MARKET,2996.77,2.283,FILLED
ORD-000200,2026-08-26 09:00:33.940,BTCUSDT,SELL,MARKET,60091.17,0.76,FILLED
ORD-000201,2026-08-26 09:00:34.119,SOLUSDT,SELL,MARKET,140.07,0.808,FILLED
ORD-000202,2026-08-26 09:00:34.335,SOLUSDT,SELL,MARKET,139.61,2.147,FILLED
ORD-000203,2026-08-26 09:00:34.596,SOLUSDT,BUY,MARKET,139.88,1.093,FILLED
ORD-000204,2026-08-26 09:00:34.816,ETHUSDT,SELL,MARKET,3000.5,1.124,FILLED
ORD-000205,2026-08-26 09:00:34.889,ETHUSDT,SELL,MARKET,2999.84,1.238,FILLED
ORD-000206,2026-08-26 09:00:34.972,BTCUSDT,BUY,MARKET,60051.62,0.994,FILLED
ORD-000207,2026-08-26 09:00:35.053,SOLUSDT,BUY,MARKET,140.21,0.891,FILLED
ORD-000208,2026-08-26 09:00:35.337,ETHUSDT,SELL,MARKET,2996.6,1.115,FILLED
ORD-000209,2026-08-26 09:00:35.534,SOLUSDT,BUY,MARKET,139.93,0.944,FILLED
ORD-000210,2026-08-26 09:00:35.673,SOLUSDT,BUY,MARKET,140.23,2.133,FILLED
ORD-000211,2026-08-26 09:00:35.832,SOLUSDT,SELL,MARKET,139.93,0.643,FILLED
ORD-000212,2026-08-26 09:00:35.889,SOLUSDT,BUY,MARKET,139.97,1.764,FILLED
ORD-000213,2026-08-26 09:00:35.940,BTCUSDT,SELL,MARKET,60118.51,0.916,FILLED
ORD-000214,2026-08-26 09:00:36.152,BTCUSDT,BUY,MARKET,60062.87,0.44,FILLED
ORD-000215,2026-08-26 09:00:36.289,BTCUSDT,BUY,MARKET,59945.5,1.108,FILLED
ORD-000216,2026-08-26 09:00:36.491,BTCUSDT,SELL,MARKET,59943.4,2.359,FILLED
ORD-000217,2026-08-26 09:00:36.561,BTCUSDT,BUY,MARKET,59992.85,0.219,FILLED
ORD-000218,2026-08-26 09:00:36.680,ETHUSDT,SELL,MARKET,2999.99,1.161,FILLED
ORD-000219,2026-08-26 09:00:36.881,BTCUSDT,BUY,MARKET,60074.64,1.728,FILLED
ORD-000220,2026-08-26 09:00:36.985,ETHUSDT,SELL,MARKET,3003.44,0.118,FILLED
ORD-000221,2026-08-26 09:00:37.171,BTCUSDT,SELL,MARKET,60004.91,1.134,REJECTED
ORD-000222,2026-08-26 09:00:37.231,SOLUSDT,BUY,MARKET,140.04,0.273,FILLED
ORD-000223,2026-08-26 09:00:37.444,ETHUSDT,BUY,MARKET,3002.79,1.13,FILLED
ORD-000224,2026-08-26 09:00:37.706,ETHUSDT,SELL,MARKET,2997.13,2.023,FILLED
ORD-000225,2026-08-26 09:00:37.857,SOLUSDT,SELL,MARKET,140.06,1.513,FILLED
ORD-000226,2026-08-26 09:00:37.956,ETHUSDT,SELL,MARKET,3000.7,1.62,FILLED
ORD-000227,2026-08-26 09:00:38.056,ETHUSDT,SELL,MARKET,2998.89,0.667,REJECTED
ORD-000228,2026-08-26 09:00:38.299,BTCUSDT,BUY,MARKET,59947.26,1.955,FILLED
ORD-000229,2026-08-26 09:00:38.597,SOLUSDT,SELL,MARKET,140.1,2.468,FILLED
ORD-000230,2026-08-26 09:00:38.661,SOLUSDT,SELL,MARKET,139.86,0.827,FILLED
ORD-000231,2026-08-26 09:00:38.923,ETHUSDT,BUY,MARKET,3001.54,0.237,FILLED
ORD-000232,2026-08-26 09:00:39.125,ETHUSDT,BUY,MARKET,2997.12,0.317,FILLED
ORD-000233,2026-08-26 09:00:39.404,SOLUSDT,SELL,MARKET,139.74,2.0,FILLED
ORD-000234,2026-08-26 09:00:39.608,BTCUSDT,SELL,MARKET,60004.83,0.552,FILLED
ORD-000235,2026-08-26 09:00:39.872,ETHUSDT,BUY,MARKET,3000.63,2.046,FILLED
ORD-000236,2026-08-26 09:00:40.034,ETHUSDT,BUY,MARKET,3000.95,0.695,FILLED
ORD-000237,2026-08-26 09:00:40.282,ETHUSDT,BUY,MARKET,3005.95,1.03,FILLED
ORD-000238,2026-08-26 09:00:40.356,ETHUSDT,BUY,MARKET,3000.85,0.258,FILLED
ORD-000239,2026-08-26 09:00:40.638,SOLUSDT,SELL,MARKET,139.85,1.676,FILLED
ORD-000240,2026-08-26 09:00:40.777,SOLUSDT,BUY,MARKET,140.37,0.439,FILLED
ORD-000241,2026-08-26 09:00:40.970,ETHUSDT,SELL,MARKET,2999.23,0.303,FILLED
ORD-000242,2026-08-26 09:00:41.209,ETHUSDT,SELL,MARKET,3002.26,2.09,FILLED
ORD-000243,2026-08-26 09:00:41.351,SOLUSDT,BUY,MARKET,139.83,0.968,FILLED
ORD-000244,2026-08-26 09:00:41.450,ETHUSDT,BUY,MARKET,2995.79,1.939,FILLED
ORD-000245,2026-08-26 09:00:41.629,BTCUSDT,BUY,MARKET,59991.26,1.991,FILLED
ORD-000246,2026-08-26 09:00:41.831,SOLUSDT,BUY,MARKET,140.12,1.583,FILLED
ORD-000247,2026-08-26 09:00:42.088,ETHUSDT,BUY,MARKET,3005.85,1.951,FILLED
ORD-000248,2026-08-26 09:00:42.386,BTCUSDT,SELL,MARKET,59932.98,1.827,FILLED
ORD-000249,2026-08-26 09:00:42.497,ETHUSDT,SELL,MARKET,2998.89,0.662,FILLED
ORD-000250,2026-08-26 09:00:42.693,ETHUSDT,SELL,MARKET,2999.7,1.728,FILLED
ORD-000251,2026-08-26 09:00:42.850,ETHUSDT,SELL,MARKET,2999.74,1.307,FILLED
ORD-000252,2026-08-26 09:00:43.064,BTCUSDT,BUY,MARKET,59999.11,0.7,FILLED
ORD-000253,2026-08-26 09:00:43.331,ETHUSDT,SELL,MARKET,2999.6,2.13,FILLED
ORD-000254,2026-08-26 09:00:43.512,BTCUSDT,SELL,MARKET,60077.3,1.178,FILLED
ORD-000255,2026-08-26 09:00:43.788,BTCUSDT,SELL,MARKET,60068.76,2.06,FILLED
ORD-000256,2026-08-26 09:00:43.936,ETHUSDT,BUY,MARKET,3001.17,0.998,FILLED
ORD-000257,2026-08-26 09:00:44.168,BTCUSDT,SELL,MARKET,59909.56,0.338,FILLED
ORD-000258,2026-08-26 09:00:44.430,SOLUSDT,SELL,MARKET,139.94,0.789,FILLED
ORD-000259,2026-08-26 09:00:44.711,ETHUSDT,BUY,MARKET,3003.11,1.577,FILLED
ORD-000260,2026-08-26 09:00:44.947,BTCUSDT,BUY,MARKET,59963.73,1.417,FILLED
ORD-000261,2026-08-26 09:00:45.009,SOLUSDT,SELL,MARKET,139.92,0.823,FILLED
ORD-000262,2026-08-26 09:00:45.273,BTCUSDT,SELL,MARKET,59972.96,0.251,FILLED
ORD-000263,2026-08-26 09:00:45.397,ETHUSDT,BUY,MARKET,3002.43,1.825,FILLED
ORD-000264,2026-08-26 09:00:45.617,ETHUSDT,BUY,MARKET,3005.24,1.1,FILLED
