fill_id,order_id,timestamp,expected_price,executed_price,quantity,latency_ms,fee,status,slippage_pct,risk_state
FIL-000039,ORD-000039,2026-08-26 09:00:06.128,59996.32,60007.18,1.421,13,34.1081,SUCCESS,0.0181,NORMAL
FIL-000040,ORD-000040,2026-08-26 09:00:06.220,139.88,139.93,2.137,47,0.1196,SUCCESS,0.0381,NORMAL
FIL-000041,ORD-000041,2026-08-26 09:00:06.312,2993.94,2993.66,2.266,9,2.7135,SUCCESS,0.0095,NORMAL
FIL-000042,ORD-000042,2026-08-26 09:00:06.478,3000.61,3000.65,1.982,13,2.3789,SUCCESS,0.0013,NORMAL
FIL-000043,ORD-000043,2026-08-26 09:00:06.697,2999.12,2998.64,1.98,6,2.3749,SUCCESS,0.016,NORMAL
FIL-000044,ORD-000044,2026-08-26 09:00:06.895,140.04,140.03,2.425,8,0.1358,SUCCESS,0.0099,NORMAL
FIL-000045,ORD-000045,2026-08-26 09:00:07.073,140.17,140.21,1.502,8,0.0842,SUCCESS,0.025,NORMAL
FIL-000046,ORD-000046,2026-08-26 09:00:07.140,139.9,139.95,2.143,17,0.12,SUCCESS,0.0377,NORMAL
FIL-000047,ORD-000047,2026-08-26 09:00:07.417,140.09,140.17,0.388,6,0.0218,SUCCESS,0.0538,NORMAL
FIL-000048,ORD-000048,2026-08-26 09:00:07.635,139.94,139.98,0.297,7,0.0166,SUCCESS,0.0285,NORMAL
FIL-000049,ORD-000049,2026-08-26 09:00:07.746,140.0,140.0,1.819,18,0.1019,SUCCESS,0.0001,NORMAL
FIL-000050,ORD-000050,2026-08-26 09:00:08.033,2999.73,2999.65,1.197,8,1.4362,SUCCESS,0.0027,NORMAL
FIL-000051,ORD-000051,2026-08-26 09:00:08.101,59942.25,59953.94,2.491,19,59.7381,SUCCESS,0.0195,NORMAL
FIL-000052,ORD-000052,2026-08-26 09:00:08.168,140.1,140.11,0.938,6,0.0526,SUCCESS,0.0068,NORMAL
FIL-000053,ORD-000053,2026-08-26 09:00:08.295,59947.0,59944.84,1.404,36,33.665,SUCCESS,0.0036,NORMAL
FIL-000054,ORD-000054,2026-08-26 09:00:08.371,139.96,139.99,2.336,17,0.1308,SUCCESS,0.0211,NORMAL
FIL-000055,ORD-000055,2026-08-26 09:00:08.490,60007.65,59985.99,1.428,14,34.264,SUCCESS,0.0361,NORMAL
FIL-000056,ORD-000056,2026-08-26 09:00:08.607,2999.33,2999.51,1.622,32,1.9461,SUCCESS,0.0059,NORMAL
FIL-000057,ORD-000057,2026-08-26 09:00:08.819,140.03,139.99,0.222,9,0.0124,SUCCESS,0.0256,NORMAL
FIL-000058,ORD-000058,2026-08-26 09:00:09.119,3003.6,3003.38,0.414,32,0.4974,SUCCESS,0.0073,NORMAL
FIL-000059,ORD-000059,2026-08-26 09:00:09.171,3001.05,3001.56,1.126,17,1.3519,SUCCESS,0.0169,NORMAL
FIL-000060,ORD-000060,2026-08-26 09:00:09.230,60019.58,60035.73,0.458,5,10.9985,SUCCESS,0.0269,NORMAL
FIL-000061,ORD-000061,2026-08-26 09:00:09.518,3001.18,3001.31,0.975,5,1.1705,SUCCESS,0.0043,NORMAL
FIL-000062,ORD-000062,2026-08-26 09:00:09.767,60004.49,59995.91,0.347,19,8.3274,SUCCESS,0.0143,NORMAL
FIL-000063,ORD-000063,2026-08-26 09:00:09.877,139.82,139.79,2.322,19,0.1298,SUCCESS,0.0231,NORMAL
FIL-000064,ORD-000064,2026-08-26 09:00:10.012,59960.93,59968.49,1.868,21,44.8085,SUCCESS,0.0126,NORMAL
FIL-000065,ORD-000065,2026-08-26 09:00:10.285,3003.19,3003.74,0.359,17,0.4313,SUCCESS,0.0183,NORMAL
FIL-000066,ORD-000066,2026-08-26 09:00:10.413,59941.95,59934.22,1.205,10,28.8883,SUCCESS,0.0129,NORMAL
FIL-000067,ORD-000067,2026-08-26 09:00:10.684,59952.62,59956.4,0.888,48,21.2965,SUCCESS,0.0063,NORMAL
FIL-000068,ORD-000068,2026-08-26 09:00:10.949,60046.71,60043.59,1.731,16,41.5742,SUCCESS,0.0052,NORMAL
FIL-000069,ORD-000069,2026-08-26 09:00:11.044,139.99,139.94,2.429,15,0.136,SUCCESS,0.0391,NORMAL
FIL-000070,ORD-000070,2026-08-26 09:00:11.295,139.79,139.78,0.93,20,0.052,SUCCESS,0.0093,NORMAL
FIL-000071,ORD-000071,2026-08-26 09:00:11.492,2996.49,2995.9,1.024,38,1.2271,SUCCESS,0.0196,NORMAL
FIL-000072,ORD-000072,2026-08-26 09:00:11.748,59986.55,59971.67,1.348,45,32.3367,SUCCESS,0.0248,NORMAL
FIL-000073,ORD-000073,2026-08-26 09:00:11.882,139.89,139.92,1.694,27,0.0948,SUCCESS,0.0203,NORMAL
FIL-000074,ORD-000074,2026-08-26 09:00:12.061,139.86,139.86,2.26,14,0.1264,SUCCESS,0.0003,NORMAL
FIL-000075,ORD-000075,2026-08-26 09:00:12.160,3000.22,2999.69,1.431,15,1.717,SUCCESS,0.0177,NORMAL
FIL-000076,ORD-000076,2026-08-26 09:00:12.287,3000.39,3000.2,1.577,60,1.8925,SUCCESS,0.0062,NORMAL
FIL-000077,ORD-000077,2026-08-26 09:00:12.492,3000.47,3000.86,1.986,30,2.3839,SUCCESS,0.0129,NORMAL
FIL-000078,ORD-000078,2026-08-26 09:00:12.663,140.11,140.07,0.613,19,0.0343,SUCCESS,0.0313,NORMAL
FIL-000079,ORD-000079,2026-08-26 09:00:12.871,139.82,139.83,1.693,24,0.0947,SUCCESS,0.0088,NORMAL
FIL-000080,ORD-000080,2026-08-26 09:00:12.978,3001.21,3001.66,1.715,34,2.0591,SUCCESS,0.0151,NORMAL
FIL-000081,ORD-000081,2026-08-26 09:00:13.245,60036.9,60089.19,1.24,24,29.8042,SUCCESS,0.0871,NORMAL
FIL-000082,ORD-000082,2026-08-26 09:00:13.473,60073.84,60055.94,0.567,24,13.6207,SUCCESS,0.0298,NORMAL
FIL-000083,ORD-000083,2026-08-26 09:00:13.751,2998.75,2997.99,1.75,10,2.0986,SUCCESS,0.0252,NORMAL
FIL-000084,ORD-000084,2026-08-26 09:00:13.919,60003.9,59999.64,1.77,5,42.4797,SUCCESS,0.0071,NORMAL
FIL-000085,ORD-000085,2026-08-26 09:00:14.087,60144.89,60161.31,0.42,9,10.1071,SUCCESS,0.0273,NORMAL
FIL-000086,ORD-000086,2026-08-26 09:00:14.321,139.93,139.91,1.57,5,0.0879,SUCCESS,0.0116,NORMAL
FIL-000087,ORD-000087,2026-08-26 09:00:14.561,139.92,139.88,2.253,6,0.1261,SUCCESS,0.0318,NORMAL
FIL-000088,ORD-000088,2026-08-26 09:00:14.807,3004.38,3004.0,1.63,7,1.9586,SUCCESS,0.0126,NORMAL
FIL-000089,ORD-000089,2026-08-26 09:00:14.930,139.89,139.87,0.286,5,0.016,SUCCESS,0.0143,NORMAL
FIL-000090,ORD-000090,2026-08-26 09:00:15.018,60137.33,60109.13,0.293,17,7.0448,SUCCESS,0.0469,NORMAL
FIL-000091,ORD-000091,2026-08-26 09:00:15.172,59872.5,59864.3,0.254,24,6.0822,SUCCESS,0.0137,NORMAL
FIL-000092,ORD-000092,2026-08-26 09:00:15.453,2998.37,2997.67,1.108,5,1.3286,SUCCESS,0.0234,NORMAL
FIL-000093,ORD-000093,2026-08-26 09:00:15.504,140.08,140.12,1.013,11,0.0568,SUCCESS,0.0273,NORMAL
FIL-000094,ORD-000094,2026-08-26 09:00:15.661,2998.7,2998.59,2.388,8,2.8643,SUCCESS,0.0036,NORMAL
FIL-000095,ORD-000095,2026-08-26 09:00:15.810,140.26,140.29,1.266,17,0.071,SUCCESS,0.0181,NORMAL
FIL-000096,ORD-000096,2026-08-26 09:00:16.019,3000.83,2999.54,2.307,16,2.768,SUCCESS,0.043,NORMAL
FIL-000097,ORD-000097,2026-08-26 09:00:16.090,139.8,139.8,1.691,10,0.0946,SUCCESS,0.0003,NORMAL
FIL-000098,ORD-000098,2026-08-26 09:00:16.237,139.96,139.89,0.221,6,0.0124,SUCCESS,0.0474,NORMAL
FIL-000099,ORD-000099,2026-08-26 09:00:16.358,2990.58,2990.89,2.211,7,2.6451,SUCCESS,0.0105,NORMAL
FIL-000100,ORD-000100,2026-08-26 09:00:16.465,2993.72,2982.5,0.225,419,0.2684,SUCCESS,0.3747,WARNING
FIL-000102,ORD-000102,2026-08-26 09:00:16.635,139.99,140.25,2.375,425,0.1332,SUCCESS,0.1843,EMERGENCY_PAUSE
FIL-000104,ORD-000104,2026-08-26 09:00:16.864,60030.3,60283.87,1.001,224,24.1377,SUCCESS,0.4224,EMERGENCY_PAUSE
FIL-000108,ORD-000108,2026-08-26 09:00:17.511,139.72,139.19,1.216,437,0.0677,SUCCESS,0.3824,EMERGENCY_PAUSE
FIL-000110,ORD-000110,2026-08-26 09:00:17.795,140.09,139.74,1.27,301,0.071,SUCCESS,0.2475,EMERGENCY_PAUSE
FIL-000111,ORD-000111,2026-08-26 09:00:17.847,2999.91,2999.9,0.763,43,0.9156,SUCCESS,0.0003,EMERGENCY_PAUSE
FIL-000112,ORD-000112,2026-08-26 09:00:18.091,140.04,140.04,1.273,9,0.0713,SUCCESS,0.0018,EMERGENCY_PAUSE
FIL-000113,ORD-000113,2026-08-26 09:00:18.164,60044.97,60027.56,2.003,6,48.0941,SUCCESS,0.029,EMERGENCY_PAUSE
FIL-000114,ORD-000114,2026-08-26 09:00:18.308,3004.66,3005.45,1.694,30,2.0365,SUCCESS,0.0263,EMERGENCY_PAUSE
FIL-000115,ORD-000115,2026-08-26 09:00:18.537,3001.59,3000.96,0.894,8,1.0731,SUCCESS,0.021,EMERGENCY_PAUSE
FIL-000116,ORD-000116,2026-08-26 09:00:18.667,2997.57,2997.28,1.831,24,2.1952,SUCCESS,0.0096,EMERGENCY_PAUSE
FIL-000117,ORD-000117,2026-08-26 09:00:18.867,60013.04,60015.08,0.764,10,18.3406,SUCCESS,0.0034,EMERGENCY_PAUSE
FIL-000118,ORD-000118,2026-08-26 09:00:19.009,140.15,140.14,0.811,37,0.0455,SUCCESS,0.0056,EMERGENCY_PAUSE
FIL-000119,ORD-000119,2026-08-26 09:00:19.308,60059.92,60058.84,0.758,21,18.2098,SUCCESS,0.0018,THROTTLE
FIL-000120,ORD-000120,2026-08-26 09:00:19.483,60009.7,59988.04,2.184,32,52.4056,SUCCESS,0.0361,WARNING
FIL-000121,ORD-000121,2026-08-26 09:00:19.580,60007.26,60010.38,1.157,9,27.7728,SUCCESS,0.0052,NORMAL
FIL-000122,ORD-000122,2026-08-26 09:00:19.732,60045.23,60035.32,2.073,5,49.7813,SUCCESS,0.0165,NORMAL
FIL-000123,ORD-000123,2026-08-26 09:00:19.989,2999.91,3001.36,0.464,41,0.5571,SUCCESS,0.0482,NORMAL
FIL-000124,ORD-000124,2026-08-26 09:00:20.145,140.14,140.13,1.439,12,0.0807,SUCCESS,0.0101,NORMAL
FIL-000125,ORD-000125,2026-08-26 09:00:20.271,139.84,139.88,2.28,18,0.1276,SUCCESS,0.0254,NORMAL
FIL-000126,ORD-000126,2026-08-26 09:00:20.510,140.08,140.07,1.563,23,0.0876,SUCCESS,0.0098,NORMAL
FIL-000127,ORD-000127,2026-08-26 09:00:20.621,59952.15,59971.21,0.295,5,7.0766,SUCCESS,0.0318,NORMAL
FIL-000128,ORD-000128,2026-08-26 09:00:20.791,60112.24,60116.15,1.754,31,42.1775,SUCCESS,0.0065,NORMAL
FIL-000129,ORD-000129,2026-08-26 09:00:20.957,2999.34,3000.01,1.787,6,2.1444,SUCCESS,0.0223,NORMAL
FIL-000130,ORD-000130,2026-08-26 09:00:21.176,60087.48,60096.43,1.6,6,38.4617,SUCCESS,0.0149,NORMAL
FIL-000131,ORD-000131,2026-08-26 09:00:21.294,59963.58,59950.87,0.458,5,10.983,SUCCESS,0.0212,NORMAL
FIL-000132,ORD-000132,2026-08-26 09:00:21.555,60058.36,60069.77,1.528,6,36.7146,SUCCESS,0.019,NORMAL
FIL-000133,ORD-000133,2026-08-26 09:00:21.708,139.79,139.79,0.83,25,0.0464,SUCCESS,0.0033,NORMAL
FIL-000134,ORD-000134,2026-08-26 09:00:21.946,3003.78,3003.29,2.235,6,2.6849,SUCCESS,0.0162,NORMAL
FIL-000135,ORD-000135,2026-08-26 09:00:22.216,3004.13,3004.01,1.718,11,2.0644,SUCCESS,0.004,NORMAL
FIL-000136,ORD-000136,2026-08-26 09:00:22.276,140.01,140.03,0.747,12,0.0418,SUCCESS,0.0165,NORMAL
FIL-000137,ORD-000137,2026-08-26 09:00:22.475,59944.37,59932.44,0.768,21,18.4112,SUCCESS,0.0199,NORMAL
FIL-000138,ORD-000138,2026-08-26 09:00:22.607,2999.97,2999.26,1.08,10,1.2957,SUCCESS,0.0238,NORMAL
FIL-000139,ORD-000139,2026-08-26 09:00:22.730,139.95,139.97,1.765,8,0.0988,SUCCESS,0.0114,NORMAL
FIL-000140,ORD-000140,2026-08-26 09:00:22.860,140.13,140.11,1.192,64,0.0668,SUCCESS,0.012,NORMAL
FIL-000141,ORD-000141,2026-08-26 09:00:23.121,2997.38,2995.72,2.176,46,2.6075,SUCCESS,0.0555,NORMAL
FIL-000142,ORD-000142,2026-08-26 09:00:23.364,60018.37,59986.5,0.968,19,23.2268,SUCCESS,0.0531,NORMAL
FIL-000143,ORD-000143,2026-08-26 09:00:23.651,2997.4,2997.17,1.418,15,1.7,SUCCESS,0.0078,NORMAL
FIL-000144,ORD-000144,2026-08-26 09:00:23.862,3002.63,3002.43,0.169,16,0.203,SUCCESS,0.0068,NORMAL
FIL-000145,ORD-000145,2026-08-26 09:00:24.016,139.93,139.97,0.133,12,0.0074,SUCCESS,0.0307,NORMAL
FIL-000146,ORD-000146,2026-08-26 09:00:24.096,59897.38,59907.44,1.207,5,28.9233,SUCCESS,0.0168,NORMAL
FIL-000147,ORD-000147,2026-08-26 09:00:24.215,140.27,140.3,1.321,9,0.0741,SUCCESS,0.0214,NORMAL
FIL-000148,ORD-000148,2026-08-26 09:00:24.363,3002.61,3002.12,1.423,7,1.7088,SUCCESS,0.0164,NORMAL
FIL-000149,ORD-000149,2026-08-26 09:00:24.519,60115.9,60121.01,1.996,37,48.0006,SUCCESS,0.0085,NORMAL
FIL-000150,ORD-000150,2026-08-26 09:00:24.719,2998.85,2998.12,0.817,24,0.9798,SUCCESS,0.0243,NORMAL
FIL-000151,ORD-000151,2026-08-26 09:00:24.854,140.18,140.16,1.262,47,0.0708,SUCCESS,0.0155,NORMAL
FIL-000152,ORD-000152,2026-08-26 09:00:25.082,140.03,140.0,0.553,12,0.031,SUCCESS,0.0219,NORMAL
FIL-000153,ORD-000153,2026-08-26 09:00:25.322,59958.04,59948.93,0.205,5,4.9158,SUCCESS,0.0152,NORMAL
FIL-000154,ORD-000154,2026-08-26 09:00:25.410,3000.61,3000.31,2.07,103,2.4843,SUCCESS,0.0101,NORMAL
FIL-000155,ORD-000155,2026-08-26 09:00:25.485,3000.44,3000.55,0.897,22,1.0766,SUCCESS,0.0037,NORMAL
FIL-000156,ORD-000156,2026-08-26 09:00:25.639,2995.5,2995.87,1.834,6,2.1978,SUCCESS,0.0124,NORMAL
FIL-000157,ORD-000157,2026-08-26 09:00:25.848,140.08,140.12,0.736,8,0.0413,SUCCESS,0.0312,NORMAL
FIL-000158,ORD-000158,2026-08-26 09:00:26.117,140.21,140.19,2.146,10,0.1203,SUCCESS,0.0166,NORMAL
FIL-000159,ORD-000159,2026-08-26 09:00:26.291,139.89,139.87,2.23,13,0.1248,SUCCESS,0.0123,NORMAL
FIL-000160,ORD-000160,2026-08-26 09:00:26.414,140.23,140.3,1.743,27,0.0978,SUCCESS,0.0512,NORMAL
FIL-000161,ORD-000161,2026-08-26 09:00:26.687,60111.33,60117.58,1.621,30,38.9802,SUCCESS,0.0104,NORMAL
FIL-000162,ORD-000162,2026-08-26 09:00:26.820,59977.85,59964.12,0.169,5,4.0536,SUCCESS,0.0229,NORMAL
FIL-000163,ORD-000163,2026-08-26 09:00:26.975,60076.11,60075.33,0.686,19,16.4847,SUCCESS,0.0013,NORMAL
FIL-000164,ORD-000164,2026-08-26 09:00:27.183,139.96,140.0,2.19,5,0.1226,SUCCESS,0.0312,NORMAL
FIL-000165,ORD-000165,2026-08-26 09:00:27.396,139.76,139.8,0.657,10,0.0367,SUCCESS,0.0277,NORMAL
FIL-000166,ORD-000166,2026-08-26 09:00:27.676,2999.29,2998.09,2.031,10,2.4356,SUCCESS,0.04,NORMAL
FIL-000167,ORD-000167,2026-08-26 09:00:27.802,3000.52,3001.41,2.47,11,2.9654,SUCCESS,0.0296,NORMAL
FIL-000168,ORD-000168,2026-08-26 09:00:27.950,140.04,140.01,0.825,40,0.0462,SUCCESS,0.0241,NORMAL
FIL-000169,ORD-000169,2026-08-26 09:00:28.179,3000.13,3000.43,1.48,12,1.7763,SUCCESS,0.0099,NORMAL
FIL-000170,ORD-000170,2026-08-26 09:00:28.373,3001.51,3001.99,0.759,9,0.9114,SUCCESS,0.0161,NORMAL
FIL-000171,ORD-000171,2026-08-26 09:00:28.654,140.1,140.12,2.099,5,0.1176,SUCCESS,0.012,NORMAL
FIL-000172,ORD-000172,2026-08-26 09:00:28.862,3001.76,3002.02,1.628,10,1.9549,SUCCESS,0.0087,NORMAL
FIL-000173,ORD-000173,2026-08-26 09:00:28.991,3003.17,3003.2,1.651,18,1.9833,SUCCESS,0.0011,NORMAL
FIL-000174,ORD-000174,2026-08-26 09:00:29.116,2998.87,2998.89,0.316,5,0.3791,SUCCESS,0.0006,NORMAL
FIL-000175,ORD-000175,2026-08-26 09:00:29.414,2997.32,2996.76,1.395,7,1.6722,SUCCESS,0.0187,NORMAL
FIL-000176,ORD-000176,2026-08-26 09:00:29.587,2999.13,2997.65,2.079,10,2.4928,SUCCESS,0.0493,NORMAL
FIL-000177,ORD-000177,2026-08-26 09:00:29.830,2999.81,2999.2,0.281,5,0.3371,SUCCESS,0.0203,NORMAL
FIL-000178,ORD-000178,2026-08-26 09:00:30.082,60066.27,60061.58,0.978,6,23.4961,SUCCESS,0.0078,NORMAL
FIL-000179,ORD-000179,2026-08-26 09:00:30.323,2999.64,2999.78,0.985,24,1.1819,SUCCESS,0.0047,NORMAL
FIL-000180,ORD-000180,2026-08-26 09:00:30.400,140.07,140.06,2.357,7,0.132,SUCCESS,0.0045,NORMAL
FIL-000181,ORD-000181,2026-08-26 09:00:30.533,139.69,139.69,2.364,16,0.1321,SUCCESS,0.0025,NORMAL
FIL-000182,ORD-000182,2026-08-26 09:00:30.762,139.7,139.73,1.214,21,0.0679,SUCCESS,0.0215,NORMAL
FIL-000183,ORD-000183,2026-08-26 09:00:30.938,3000.63,3000.35,0.189,13,0.2268,SUCCESS,0.0094,NORMAL
FIL-000184,ORD-000184,2026-08-26 09:00:31.082,60010.77,60024.03,1.033,12,24.8019,SUCCESS,0.0221,NORMAL
FIL-000185,ORD-000185,2026-08-26 09:00:31.299,140.02,140.01,2.225,8,0.1246,SUCCESS,0.0063,NORMAL
FIL-000186,ORD-000186,2026-08-26 09:00:31.525,59991.13,59989.39,0.771,9,18.5007,SUCCESS,0.0029,NORMAL
FIL-000187,ORD-000187,2026-08-26 09:00:31.600,2997.06,2997.49,2.153,6,2.5814,SUCCESS,0.0144,NORMAL
FIL-000188,ORD-000188,2026-08-26 09:00:31.751,140.12,140.11,0.961,18,0.0539,SUCCESS,0.0098,NORMAL
FIL-000189,ORD-000189,2026-08-26 09:00:31.824,3004.74,3006.47,2.078,6,2.499,SUCCESS,0.0575,NORMAL
FIL-000190,ORD-000190,2026-08-26 09:00:32.075,140.15,140.16,0.151,21,0.0085,SUCCESS,0.0107,NORMAL
FIL-000191,ORD-000191,2026-08-26 09:00:32.337,2999.73,3000.87,0.592,9,0.7106,SUCCESS,0.0379,NORMAL
FIL-000192,ORD-000192,2026-08-26 09:00:32.585,139.83,139.86,0.659,15,0.0369,SUCCESS,0.018,NORMAL
FIL-000193,ORD-000193,2026-08-26 09:00:32.773,60039.78,60040.26,2.47,6,59.3198,SUCCESS,0.0008,NORMAL
FIL-000194,ORD-000194,2026-08-26 09:00:32.914,2998.42,2998.47,0.416,7,0.4989,SUCCESS,0.0018,NORMAL
FIL-000195,ORD-000195,2026-08-26 09:00:33.071,59942.17,59918.13,0.404,7,9.6828,SUCCESS,0.0401,NORMAL
FIL-000196,ORD-000196,2026-08-26 09:00:33.252,140.11,140.12,1.967,53,0.1102,SUCCESS,0.0052,NORMAL
FIL-000197,ORD-000197,2026-08-26 09:00:33.488,139.88,139.9,1.576,46,0.0882,SUCCESS,0.0147,NORMAL
FIL-000198,ORD-000198,2026-08-26 09:00:33.660,140.03,140.0,0.246,8,0.0138,SUCCESS,0.02,NORMAL
FIL-000199,ORD-000199,2026-08-26 09:00:33.728,2996.77,2995.24,2.283,36,2.7353,SUCCESS,0.0509,NORMAL
FIL-000200,ORD-000200,2026-08-26 09:00:33.940,60091.17,60089.19,0.76,8,18.2671,SUCCESS,0.0033,NORMAL
FIL-000201,ORD-000201,2026-08-26 09:00:34.119,140.07,140.05,0.808,9,0.0453,SUCCESS,0.0156,NORMAL
FIL-000202,ORD-000202,2026-08-26 09:00:34.335,139.61,139.59,2.147,8,0.1199,SUCCESS,0.0152,NORMAL
FIL-000203,ORD-000203,2026-08-26 09:00:34.596,139.88,139.9,1.093,9,0.0612,SUCCESS,0.0128,NORMAL
FIL-000204,ORD-000204,2026-08-26 09:00:34.816,3000.5,3000.41,1.124,12,1.349,SUCCESS,0.003,NORMAL
FIL-000205,ORD-000205,2026-08-26 09:00:34.889,2999.84,2999.78,1.238,9,1.4855,SUCCESS,0.002,NORMAL
FIL-000206,ORD-000206,2026-08-26 09:00:34.972,60051.62,60063.99,0.994,18,23.8814,SUCCESS,0.0206,NORMAL
FIL-000207,ORD-000207,2026-08-26 09:00:35.053,140.21,140.25,0.891,12,0.05,SUCCESS,0.0254,NORMAL
FIL-000208,ORD-000208,2026-08-26 09:00:35.337,2996.6,2996.08,1.115,36,1.3363,SUCCESS,0.0174,NORMAL
FIL-000209,ORD-000209,2026-08-26 09:00:35.534,139.93,139.96,0.944,38,0.0528,SUCCESS,0.0198,NORMAL
FIL-000210,ORD-000210,2026-08-26 09:00:35.673,140.23,140.25,2.133,27,0.1197,SUCCESS,0.0168,NORMAL
FIL-000211,ORD-000211,2026-08-26 09:00:35.832,139.93,139.92,0.643,7,0.036,SUCCESS,0.0036,NORMAL
